Name,Item No,Vf,Imax,CCT,CRI,Cutout,Beam Angle,Wattage,Batch Code,Stock Code,MFG BY,BIS No,BIS SEC,MRP,IMAGE
Izar,AOGL0395,240V AC,NA,3000K, CRI>80, φ48*115mm, 8°,3W,AJ/CG,AOGL0395/30/8,,,,11499,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FLXfqFqkJ%2FIzar.png&output=webp&q=78
Izar,AOGL0395,240V AC,NA,3000K, CRI>80, φ48*115mm, 15°,3W,AJ/CG,AOGL0395/30/15,,,,11499,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FLXfqFqkJ%2FIzar.png&output=webp&q=78
Izar,AOGL0395,240V AC,NA,3000K, CRI>80, φ48*115mm, 30°,3W,AJ/CG,AOGL0395/30/30,,,,11499,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FLXfqFqkJ%2FIzar.png&output=webp&q=78
Izar,AOGL0395,240V AC,NA,3000K, CRI>80, φ48*115mm, 40°,3W,AJ/CG,AOGL0395/30/40,,,,11499,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FLXfqFqkJ%2FIzar.png&output=webp&q=78
Izar,AOGL0395,240V AC,NA,3000K, CRI>80, φ48*115mm, 60°,3W,AJ/CG,AOGL0395/30/60,,,,11499,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FLXfqFqkJ%2FIzar.png&output=webp&q=78
Timir,AOSL0278,240V AC,NA,3000K, CRI>80,φ79*53mm,NA,2W,AJ/CG,AOSL0278/30/R,,,,5649,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FwFj0YMtR%2FTimir.png&output=webp&q=78
Timir,AOSL0278,240V AC,NA,3000K, CRI>80,φ79*53mm,NA,2W,AJ/CG,AOSL0278/30/S,,,,5649,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FwFj0YMtR%2FTimir.png&output=webp&q=78
Timir,AOSL0278,240V AC,NA,3000K, CRI>80,φ79*53mm,NA,2W,AJ/CG,AOSL0278/30/R/B,,,,5649,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FwFj0YMtR%2FTimir.png&output=webp&q=78
Timir,AOSL0278,240V AC,NA,3000K, CRI>80,φ79*53mm,NA,2W,AJ/CG,AOSL0278/30/S/B,,,,5649,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FwFj0YMtR%2FTimir.png&output=webp&q=78
Morava,AOWL0238,24V DC,NA,3000K, CRI>80, φ38*65mm, 15°,2W,AJ/CG,AOWL0238/30/15,,,,7799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FPvm27918%2FMorava.png&output=webp&q=78
Morava,AOWL0238,24V DC,NA,3000K, CRI>80, φ38*65mm, 35°,2W,AJ/CG,AOWL0238/30/35,,,,7799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FPvm27918%2FMorava.png&output=webp&q=78
Morava,AOWL0238,24V DC,NA,3000K, CRI>80, φ38*65mm, 40°,2W,AJ/CG,AOWL0238/30/40,,,,7799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FPvm27918%2FMorava.png&output=webp&q=78
Morava,AOWL0238,24V DC,NA,3000K, CRI>80, φ38*65mm, 60°,2W,AJ/CG,AOWL0238/30/60,,,,7799,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FPvm27918%2FMorava.png&output=webp&q=78
Marsic,AOWS0261,24V DC,NA,3000K, CRI>80,φ61*92mm, 15°,2W,AJ/CG,AOWS0261/30/15,,,,11099,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FZpc8DDzq%2FMarsic.png&output=webp&q=78
Marsic,AOWS0261,24V DC,NA,3000K, CRI>80,φ61*92mm, 30°,2W,AJ/CG,AOWS0261/30/30,,,,11099,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FZpc8DDzq%2FMarsic.png&output=webp&q=78
Marsic,AOWS0261,24V DC,NA,3000K, CRI>80,φ61*92mm, 40°,2W,AJ/CG,AOWS0261/30/40,,,,11099,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FZpc8DDzq%2FMarsic.png&output=webp&q=78
Marsic,AOWS0261,24V DC,NA,3000K, CRI>80,φ61*92mm, 60°,2W,AJ/CG,AOWS0261/30/60,,,,11099,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FZpc8DDzq%2FMarsic.png&output=webp&q=78
Rigel,AUWL0368,24V DC,NA,RGB, CRI>80,φ69*75mm, 15°,3W,AJ/CG,AUWL0368/RGB/15,,,,13049,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FmrgP1QRz%2FRigel.png&output=webp&q=78
Rigel,AUWL0368,24V DC,NA,RGB, CRI>80,φ69*75mm, 30°,3W,AJ/CG,AUWL0368/RGB/30,,,,13049,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FmrgP1QRz%2FRigel.png&output=webp&q=78
Rigel,AUWL0368,24V DC,NA,RGB, CRI>80,φ69*75mm, 45°,3W,AJ/CG,AUWL0368/RGB/45,,,,13049,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FmrgP1QRz%2FRigel.png&output=webp&q=78
Rigel,AUWL0368,24V DC,NA,RGB, CRI>80,φ69*75mm, 60°,3W,AJ/CG,AUWL0368/RGB/60,,,,13049,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FmrgP1QRz%2FRigel.png&output=webp&q=78
Sarin,AUWL1213,24V DC,NA,RGB, CRI>80, φ135*58mm, 15°,12W,AJ/CG,AUWL1213/RGB/15,,,,21049,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FTqNZPMWt%2FSarin.png&output=webp&q=78
Sarin,AUWL1213,24V DC,NA,RGB, CRI>80, φ135*58mm, 30°,12W,AJ/CG,AUWL1213/RGB/30,,,,21049,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FTqNZPMWt%2FSarin.png&output=webp&q=78
Sarin,AUWL1213,24V DC,NA,RGB, CRI>80, φ135*58mm, 45°,12W,AJ/CG,AUWL1213/RGB/45,,,,21049,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FTqNZPMWt%2FSarin.png&output=webp&q=78
Sarin,AUWL1213,24V DC,NA,RGB, CRI>80, φ135*58mm, 60°,12W,AJ/CG,AUWL1213/RGB/60,,,,21049,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2FTqNZPMWt%2FSarin.png&output=webp&q=78
Mizar,AOWS1212,24V DC,NA,3000K, CRI>80,φ125*122mm, 15°,12W,AJ/CG,AOWS1212/30/15,,,,29299,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F4R3bB7Gx%2FMizar.png&output=webp&q=78
Mizar,AOWS1212,24V DC,NA,3000K, CRI>80,φ125*122mm, 30°,12W,AJ/CG,AOWS1212/30/30,,,,29299,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F4R3bB7Gx%2FMizar.png&output=webp&q=78
Mizar,AOWS1212,24V DC,NA,3000K, CRI>80,φ125*122mm, 40°,12W,AJ/CG,AOWS1212/30/40,,,,29299,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F4R3bB7Gx%2FMizar.png&output=webp&q=78
Mizar,AOWS1212,24V DC,NA,3000K, CRI>80,φ125*122mm, 60°,12W,AJ/CG,AOWS1212/30/60,,,,29299,https://wsrv.nl/?url=https%3A%2F%2Fi.ibb.co%2F4R3bB7Gx%2FMizar.png&output=webp&q=78
